,Temperature F,Number of Rides,Weather Description,index1,weekday
2014-07-07 03:00:00,74.71400000000003,17,scattered clouds,2014-07-07 03:00:00,Monday
2014-07-07 04:00:00,73.292,17,broken clouds,2014-07-07 04:00:00,Monday
2014-07-07 07:00:00,73.292,41,broken clouds,2014-07-07 07:00:00,Monday
2014-07-07 08:00:00,72.93200000000002,71,overcast clouds,2014-07-07 08:00:00,Monday
2014-07-07 09:00:00,72.21199999999996,51,overcast clouds,2014-07-07 09:00:00,Monday
2014-07-07 12:00:00,75.092,36,broken clouds,2014-07-07 12:00:00,Monday
2014-07-07 16:00:00,86.97200000000004,41,scattered clouds,2014-07-07 16:00:00,Monday
2014-07-07 17:00:00,87.31400000000004,35,scattered clouds,2014-07-07 17:00:00,Monday
2014-07-07 18:00:00,90.21199999999996,32,scattered clouds,2014-07-07 18:00:00,Monday
2014-07-08 01:00:00,86.95399999999995,45,scattered clouds,2014-07-08 01:00:00,Tuesday
2014-07-08 02:00:00,85.92799999999997,21,scattered clouds,2014-07-08 02:00:00,Tuesday
2014-07-08 03:00:00,83.37200000000004,12,broken clouds,2014-07-08 03:00:00,Tuesday
2014-07-08 04:00:00,83.03000000000004,11,thunderstorm,2014-07-08 04:00:00,Tuesday
2014-07-08 07:00:00,72.93200000000002,29,mist,2014-07-08 07:00:00,Tuesday
2014-07-08 08:00:00,72.93200000000002,75,mist,2014-07-08 08:00:00,Tuesday
2014-07-08 09:00:00,72.91400000000003,58,fog,2014-07-08 09:00:00,Tuesday
2014-07-08 12:00:00,77.234,41,broken clouds,2014-07-08 12:00:00,Tuesday
2014-07-08 16:00:00,89.49199999999999,45,broken clouds,2014-07-08 16:00:00,Tuesday
2014-07-08 17:00:00,90.93200000000002,33,broken clouds,2014-07-08 17:00:00,Tuesday
2014-07-08 18:00:00,92.37200000000004,32,broken clouds,2014-07-08 18:00:00,Tuesday
2014-07-09 01:00:00,87.24199999999999,24,broken clouds,2014-07-09 01:00:00,Wednesday
2014-07-09 02:00:00,85.208,27,broken clouds,2014-07-09 02:00:00,Wednesday
2014-07-09 03:00:00,76.51400000000004,20,light rain,2014-07-09 03:00:00,Wednesday
2014-07-09 04:00:00,75.83000000000004,17,broken clouds,2014-07-09 04:00:00,Wednesday
2014-07-09 07:00:00,72.59000000000002,41,sky is clear,2014-07-09 07:00:00,Wednesday
2014-07-09 08:00:00,72.21199999999996,60,few clouds,2014-07-09 08:00:00,Wednesday
2014-07-09 09:00:00,71.49199999999999,51,scattered clouds,2014-07-09 09:00:00,Wednesday
2014-07-09 12:00:00,74.73200000000001,36,scattered clouds,2014-07-09 12:00:00,Wednesday
2014-07-09 16:00:00,83.37200000000004,39,broken clouds,2014-07-09 16:00:00,Wednesday
2014-07-09 17:00:00,85.51400000000004,29,broken clouds,2014-07-09 17:00:00,Wednesday
2014-07-09 18:00:00,87.674,36,broken clouds,2014-07-09 18:00:00,Wednesday
2014-07-10 01:00:00,76.11799999999998,19,dust,2014-07-10 01:00:00,Thursday
2014-07-10 02:00:00,76.1,5,broken clouds,2014-07-10 02:00:00,Thursday
2014-07-10 03:00:00,75.07400000000001,20,broken clouds,2014-07-10 03:00:00,Thursday
2014-07-10 04:00:00,74.71400000000003,16,broken clouds,2014-07-10 04:00:00,Thursday
2014-07-10 07:00:00,71.83399999999999,30,broken clouds,2014-07-10 07:00:00,Thursday
2014-07-10 08:00:00,70.39399999999998,61,broken clouds,2014-07-10 08:00:00,Thursday
2014-07-10 09:00:00,70.03399999999999,51,mist,2014-07-10 09:00:00,Thursday
2014-07-10 12:00:00,72.21199999999996,21,broken clouds,2014-07-10 12:00:00,Thursday
2014-07-10 16:00:00,77.26999999999995,31,broken clouds,2014-07-10 16:00:00,Thursday
2014-07-10 17:00:00,79.08800000000005,35,broken clouds,2014-07-10 17:00:00,Thursday
